nom,format,episodes,studio,annee,note,popularite,rang,tags,lien,periode
"Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars",DVD Special,1,Kyoto Animation,2014,3.844,3267,1673,comedy;romance;based on a light novel,https://www.anime-planet.com/anime/love-chunibyo-and-other-delusions-heart-throb-the-rikka-wars,2012-2016
Ace of the Diamond OVA,OVA,3,"MADHOUSE, Production I.G",2014,3.844,767,1674,shounen;sports;baseball;based on a manga,https://www.anime-planet.com/anime/ace-of-the-diamond-ova,2012-2016
Love Live! Sunshine!! 2nd Season,TV,13,Sunrise,2017,3.844,1866,1675,all-girls school;idols;music;school club;school life,https://www.anime-planet.com/anime/love-live-sunshine-2nd-season,2017-2023
Hello World,Movie,1,Graphinica,2019,3.843,2478,1676,drama;romance;sci fi;cg animation;original work,https://www.anime-planet.com/anime/hello-world,2017-2023
We Never Learn OVA,OVA,2,"Arvo Animation, Silver",2019,3.843,1249,1677,comedy;ecchi;harem;romance;shounen;slice of life;romantic comedy;tutors;based on a manga,https://www.anime-planet.com/anime/we-never-learn-ova,2017-2023
Blue Exorcist OVA,OVA,2,A-1 Pictures,2017,3.843,2523,1678,action;fantasy;contemporary fantasy;demons;monsters;supernatural;urban fantasy;based on a manga,https://www.anime-planet.com/anime/blue-exorcist-ova,2017-2023
Hetalia: The World Twinkle,Web,15,Studio DEEN,2015,3.843,1729,1679,comedy;anthropomorphic;chibi;gag;historical;parody;political;satire;short episodes;based on a manga,https://www.anime-planet.com/anime/hetalia-the-world-twinkle,2012-2016
BanG Dream! Girls Band Party! Pico: Ohmori,Web,26,"DMM.futureworks, SANZIGEN, W-Toon Studio",2020,3.842,164,1680,chibi;music;short episodes;showbiz,https://www.anime-planet.com/anime/bang-dream-girls-band-party-pico-ohmori,2017-2023
Black Jack Final,OVA,2,Tezuka Productions,2011,3.842,297,1681,drama;shounen;doctors;kidnapping;medical;based on a manga,https://www.anime-planet.com/anime/black-jack-final,2002-2011
History's Strongest Disciple Kenichi OVA Specials,DVD Special,4,Brain's Base,2013,3.842,763,1682,comedy;shounen;martial arts;weak to strong;based on a manga,https://www.anime-planet.com/anime/historys-strongest-disciple-kenichi-ova-specials,2012-2016
